,link,detail
16,https://www.linkedin.com/jobs/view/data-scientist-at-uber-3380128037?refId=j2FB3SGzdNkiGWBtx0okrw%3D%3D&trackingId=jXWYQ%2FJj%2BsHtvk%2FAAWV4dA%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,"Uber hiring Data Scientist in San Francisco, California, United States | LinkedIn"
17,https://www.linkedin.com/jobs/view/data-scientist-at-atrium-3390226105?refId=j2FB3SGzdNkiGWBtx0okrw%3D%3D&trackingId=RrMNr9DhZshyyTnEawAPnw%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,Atrium hiring Data Scientist in United States | LinkedIn
18,https://www.linkedin.com/jobs/view/data-scientist-at-uber-3380716832?refId=j2FB3SGzdNkiGWBtx0okrw%3D%3D&trackingId=HQym8ozOJ5ecC7O98%2FPGdA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,"Uber hiring Data Scientist in Sunnyvale, California, United States | LinkedIn"
19,https://www.linkedin.com/jobs/view/data-scientist-at-grammarly-3384157495?refId=j2FB3SGzdNkiGWBtx0okrw%3D%3D&trackingId=lWC2aJe2hBVMuU5eF3Vsxw%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,"Grammarly hiring Data Scientist in New Jersey, United States | LinkedIn"
20,https://www.linkedin.com/jobs/view/data-scientist-engineer-at-life-science-people-3366302011?refId=j2FB3SGzdNkiGWBtx0okrw%3D%3D&trackingId=ZEFgH5wNhd%2Bz%2FsFMif%2Feug%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,Life Science People hiring Data Scientist/ Engineer in United States | LinkedIn
21,https://www.linkedin.com/jobs/view/data-scientist-at-hackajob-3389814866?refId=j2FB3SGzdNkiGWBtx0okrw%3D%3D&trackingId=zjgeoaSQklkNeE5vNdx92w%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,hackajob hiring Data Scientist in New York City Metropolitan Area | LinkedIn
22,https://www.linkedin.com/jobs/view/data-scientist-at-brillio-3374529660?refId=j2FB3SGzdNkiGWBtx0okrw%3D%3D&trackingId=k3ry%2FipI6Dwjha1k%2B4MIwQ%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,"Brillio hiring Data Scientist in Tampa, Florida, United States | LinkedIn"
23,https://www.linkedin.com/jobs/view/data-scientist-remote-no-c2c-at-novus-professional-services-inc-3383349376?refId=j2FB3SGzdNkiGWBtx0okrw%3D%3D&trackingId=vwXrgJdptb%2FDXTDYEgoDHg%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,"NOVUS Professional Services, Inc. hiring Data Scientist - Remote (No C2C) in Greenwood Village, Colorado, United States | LinkedIn"
24,https://www.linkedin.com/jobs/view/data-scientist-public-sector-at-clarifai-3382852290?refId=j2FB3SGzdNkiGWBtx0okrw%3D%3D&trackingId=BxNDdV7AMG%2Fe7C2jZPDXkA%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card,"Clarifai hiring Data Scientist - Public Sector in Washington, District of Columbia, United States | LinkedIn"
25,https://www.linkedin.com/jobs/view/data-scientist-multiple-openings-at-starbucks-3379637534?refId=%2FzAjpkmBT%2BTkQfyZui6leg%3D%3D&trackingId=xh8%2FYxFKMf%2FsSHTz95IjUg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"Starbucks hiring data scientist - multiple openings in Seattle, Washington, United States | LinkedIn"
26,https://www.linkedin.com/jobs/view/data-scientist-deep-learning-peacock-at-peacock-3390271556?refId=%2FzAjpkmBT%2BTkQfyZui6leg%3D%3D&trackingId=Ht79GHLTOa4pQb5jVjGu7w%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"Peacock hiring Data Scientist (Deep Learning), Peacock in New York, New York, United States | LinkedIn"
27,https://www.linkedin.com/jobs/view/data-scientist-at-amicus-3390225272?refId=%2FzAjpkmBT%2BTkQfyZui6leg%3D%3D&trackingId=BgFk%2Fu%2F%2BQsn%2FtZhAuw52eg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"Amicus hiring Data Scientist in New York, New York, United States | LinkedIn"
28,https://www.linkedin.com/jobs/view/data-scientist-nyc-at-carbonchain-3382422661?refId=%2FzAjpkmBT%2BTkQfyZui6leg%3D%3D&trackingId=qldTRbCzhiI6Fa%2F2XKo9hQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"CarbonChain hiring Data Scientist [NYC] in New York, New York, United States | LinkedIn"
29,https://www.linkedin.com/jobs/view/data-scientist-at-catalist-3388937849?refId=%2FzAjpkmBT%2BTkQfyZui6leg%3D%3D&trackingId=K5%2FzAn8uN9FsK8D5d9F9fQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"Catalist hiring Data Scientist in Washington, District of Columbia, United States | LinkedIn"
30,https://www.linkedin.com/jobs/view/junior-data-scientist-at-focuskpi-inc-3385020737?refId=%2FzAjpkmBT%2BTkQfyZui6leg%3D%3D&trackingId=QkLs%2BFN5YyNlDvabs9Bx5g%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"FocusKPI, Inc. hiring Junior Data Scientist in Boston, Massachusetts, United States | LinkedIn"
31,https://www.linkedin.com/jobs/view/data-scientist-full-time-at-bardess-group-ltd-3389875542?refId=%2FzAjpkmBT%2BTkQfyZui6leg%3D%3D&trackingId=V4zz7%2BK%2FX1JG%2FwlafDHR8w%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"Bardess Group Ltd hiring Data Scientist Full Time in New York, New York, United States | LinkedIn"
32,https://www.linkedin.com/jobs/view/data-scientist-at-pomeroy-3384652177?refId=%2FzAjpkmBT%2BTkQfyZui6leg%3D%3D&trackingId=oAjT86HYcdxEBat6%2BXlrBg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"Pomeroy hiring Data Scientist in Marietta, Georgia, United States | LinkedIn"
33,https://www.linkedin.com/jobs/view/data-scientist-at-bicp-3378146719?refId=%2FzAjpkmBT%2BTkQfyZui6leg%3D%3D&trackingId=IOY5xSj%2Bu2Ek5C%2FieH3smA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"BICP hiring Data Scientist in Beaverton, Oregon, United States | LinkedIn"
34,https://www.linkedin.com/jobs/view/2023-university-graduate-data-scientist-at-uber-3379618648?refId=%2FzAjpkmBT%2BTkQfyZui6leg%3D%3D&trackingId=OrNE1ahGXYPevqCF668R5Q%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"Uber hiring 2023 University Graduate - Data Scientist in San Francisco, California, United States | LinkedIn"
35,https://www.linkedin.com/jobs/view/junior-data-scientist-at-clearml-3393620410?refId=%2FzAjpkmBT%2BTkQfyZui6leg%3D%3D&trackingId=sU8AQGTwALBGrAsU4IX%2Bng%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,ClearML hiring Junior Data Scientist in United States | LinkedIn
36,https://www.linkedin.com/jobs/view/bio-data-scientist-at-x4-technology-3374644533?refId=%2FzAjpkmBT%2BTkQfyZui6leg%3D%3D&trackingId=78dU3zq%2B%2Fa7%2Bb%2FiNY9lXkw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,"X4 Technology hiring Bio Data Scientist in Boston, Massachusetts, United States | LinkedIn"
37,https://www.linkedin.com/jobs/view/data-scientist-global-decision-science-at-american-express-3380070410?refId=%2FzAjpkmBT%2BTkQfyZui6leg%3D%3D&trackingId=qFgrMD%2BvL4usNU%2FPxaq2Yg%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,"American Express hiring Data Scientist - Global Decision Science in New York, New York, United States | LinkedIn"
38,https://www.linkedin.com/jobs/view/data-scientist-at-cinemark-3382811471?refId=%2FzAjpkmBT%2BTkQfyZui6leg%3D%3D&trackingId=OuZew56s7fbOal3Fi5oKaw%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,"Cinemark hiring Data Scientist in Plano, Texas, United States | LinkedIn"
39,https://www.linkedin.com/jobs/view/data-scientist-at-grammarly-3384155765?refId=%2FzAjpkmBT%2BTkQfyZui6leg%3D%3D&trackingId=ZZhbqimKfNlU3olG6%2FE8Pw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,"Grammarly hiring Data Scientist in New York, United States | LinkedIn"
40,https://www.linkedin.com/jobs/view/data-scientist-at-lockheed-martin-3376703689?refId=%2FzAjpkmBT%2BTkQfyZui6leg%3D%3D&trackingId=PS5tSEUUORnHvrk3zpM8VA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,"Lockheed Martin hiring Data Scientist in New Mexico, United States | LinkedIn"
41,https://www.linkedin.com/jobs/view/data-scientist-at-uber-3380128037?refId=%2FzAjpkmBT%2BTkQfyZui6leg%3D%3D&trackingId=0a%2BC74rPRADWQ9SyDB%2BTcw%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,"Uber hiring Data Scientist in San Francisco, California, United States | LinkedIn"
